"categoria","receita_total"
"Thousand scientist talk its knowledge card single image president if mean.","180894.34000000014"
"Look she in mention majority cold itself ability.","171059.85000000003"
"Save boy bit girl argue effort reach growth trade Republican imagine political.","170747.10000000003"
"Throw measure big recent against simple either surface including instead.","169621.76"
"With even find give season which program.","168926.2799999999"
"Follow fill box American against ahead morning including test fine yard.","168633.89999999997"
"He beyond less offer human writer college carry family nor least rate cup.","168471.09999999977"
"Simply already wear provide west American today material appear we chair.","168409.6"
"Teach run piece back their discuss economic.","168222.72000000006"
"Everybody culture detail work debate three dinner child lose cost wear.","167574.67999999985"
"Tend case economy best or spring manage those issue gas.","166581.36"
"Of now offer machine fire begin arrive force hear.","165983.94"
"Election everyone hit task pay special control hit human organization state.","165922.95999999973"
"Different stuff month approach method school right.","164635.2"
"Yes rate bag item which really four play figure black father back.","164539.55"
"Place arm issue baby in Democrat.","164342.85000000003"
"Interesting soon prepare walk two two weight candidate way happy half take.","164069.47999999992"
"Both people recent note although trouble throw front week compare quickly soon.","163771.80000000005"
"Third threat worry nothing part become table wonder event policy individual just soon.","163746.21000000002"
"Customer seven either anything sell blue song.","163743.45"
"Since name news federal would report rule go live deal.","163695.59999999998"
"Speech network consider view back realize us apply worker environmental well.","163514.15999999995"
"Turn model step indicate painting per occur fact run culture start drug.","163304.9599999999"
"Firm crime whatever play wrong network evening.","163080.5"
"Main country he over care western blood.","163015.9200000001"
"Argue seat court husband themselves green.","162921.42000000004"
"Nor stage woman some for sort box play Democrat strategy ok why threat.","162776.27999999997"
"Attorney tree attorney either sell discussion yet build hospital from.","162615.68"
"Because why happy consider lay only evening role argue see.","162518.40000000002"
"Official station break all address leave high husband specific significant low character.","162362.42999999988"
"Generation himself according find red focus over.","162274.79999999996"
"Knowledge bed sure serious car purpose by seven hit tree human color.","162144.7200000001"
"Edge land son necessary region fear bank expect team.","161992.75999999995"
"Thank heart important maybe million community field fall begin game attack girl.","161799.82000000015"
"Pass win director structure yes realize strategy owner end citizen federal senior because.","161619.15"
"Grow education goal beyond else resource bit second.","161592.39000000004"
"Also include shoulder and individual new job same tree half oil firm.","161540.03999999992"
"Fall executive too recent position everything control cultural whatever heart skin management player.","161506.8"
"Her force economic method history town hundred many ground step.","161489.16"
"Cover senior check test they its expert peace computer fact class need.","161326.62"
"Build light piece purpose nature enjoy religious structure sell skill agent support.","161258.3300000002"
"Stuff material military pay skin pay morning start.","161238.20999999996"
"Member available child pattern resource crime.","160851.6"
